Graph_File,Graph_Type,Vertices,Edges,Space_Complexity,Augmenting_s-t_Paths,Actual_Max_Flow,Computation_Time_Seconds
Bipartite/bipartite_n54_m68_p0.76_39.txt,Bipartite,124,2877,O(124+2877),192,4046,0.132488
Bipartite/bipartite_n54_m99_p0.68_4.txt,Bipartite,155,3779,O(155+3779),171,2217,0.160183
Bipartite/bipartite_n55_m35_p0.66_49.txt,Bipartite,92,1359,O(92+1359),112,3524,0.030517
Bipartite/bipartite_n55_m40_p0.65_42.txt,Bipartite,97,1540,O(97+1540),116,3866,0.032165
Bipartite/bipartite_n55_m79_p0.54_40.txt,Bipartite,136,2507,O(136+2507),168,2967,0.120978
Bipartite/bipartite_n56_m91_p0.72_44.txt,Bipartite,149,3906,O(149+3906),200,6023,0.245285
Bipartite/bipartite_n57_m15_p0.84_11.txt,Bipartite,74,787,O(74+787),33,471,0.000000
Bipartite/bipartite_n58_m32_p0.54_28.txt,Bipartite,92,1058,O(92+1058),69,538,0.010111
Bipartite/bipartite_n58_m37_p0.96_14.txt,Bipartite,97,2132,O(97+2132),103,1908,0.045394
Bipartite/bipartite_n58_m60_p0.51_26.txt,Bipartite,120,1883,O(120+1883),195,3724,0.090695
Bipartite/bipartite_n58_m79_p0.40_22.txt,Bipartite,139,1978,O(139+1978),186,3576,0.116887
Bipartite/bipartite_n59_m20_p0.66_34.txt,Bipartite,81,856,O(81+856),38,218,0.008030
Bipartite/bipartite_n60_m47_p0.39_34.txt,Bipartite,109,1186,O(109+1186),126,1539,0.031893
Bipartite/bipartite_n61_m92_p0.78_41.txt,Bipartite,155,4499,O(155+4499),179,2291,0.233226
Bipartite/bipartite_n62_m71_p0.60_20.txt,Bipartite,135,2791,O(135+2791),198,4666,0.105144
Bipartite/bipartite_n64_m34_p0.77_12.txt,Bipartite,100,1777,O(100+1777),93,2045,0.047414
Bipartite/bipartite_n65_m12_p0.78_29.txt,Bipartite,79,685,O(79+685),24,894,0.002008
Bipartite/bipartite_n65_m52_p0.99_45.txt,Bipartite,119,3479,O(119+3479),166,3421,0.110941
Bipartite/bipartite_n67_m91_p0.63_50.txt,Bipartite,160,4073,O(160+4073),229,6544,0.275952
Bipartite/bipartite_n68_m13_p0.36_16.txt,Bipartite,83,389,O(83+389),23,414,0.000000
Bipartite/bipartite_n68_m24_p0.56_21.txt,Bipartite,94,997,O(94+997),68,1124,0.020672
Bipartite/bipartite_n68_m46_p0.79_22.txt,Bipartite,116,2577,O(116+2577),157,4972,0.095281
Bipartite/bipartite_n68_m86_p0.47_29.txt,Bipartite,156,2915,O(156+2915),226,4502,0.196406
Bipartite/bipartite_n69_m18_p0.96_17.txt,Bipartite,89,1278,O(89+1278),44,404,0.006386
Bipartite/bipartite_n69_m74_p0.38_23.txt,Bipartite,145,2086,O(145+2086),192,2134,0.086345
Bipartite/bipartite_n69_m78_p0.76_46.txt,Bipartite,149,4279,O(149+4279),222,4313,0.244164
Bipartite/bipartite_n71_m64_p0.44_2.txt,Bipartite,137,2131,O(137+2131),192,2021,0.092967
Bipartite/bipartite_n72_m60_p0.99_6.txt,Bipartite,134,4402,O(134+4402),188,5208,0.286896
Bipartite/bipartite_n73_m23_p0.30_38.txt,Bipartite,98,595,O(98+595),74,2456,0.000000
Bipartite/bipartite_n77_m75_p0.84_47.txt,Bipartite,154,4992,O(154+4992),158,815,0.205593
Bipartite/bipartite_n78_m99_p0.41_32.txt,Bipartite,179,3292,O(179+3292),277,7895,0.343678
